epoch,loss,auroc,average_precision,f1,mcc,balanced_accuracy,threshold,learning_rate
1,0.8969628190994263,0.8909628887740157,0.9057074700383918,0.8123363398312482,0.6372178831527531,0.8182131472387353,0.4478349983692169,0.001
2,0.8253540169000626,0.9001027523958667,0.91207117572071,0.8142644873699851,0.6498226147140129,0.8235566519189739,0.5368768572807312,0.001
3,0.8039811906814576,0.9109489266112234,0.9216841100186199,0.8249852681202121,0.6666523305764648,0.8323957652329477,0.5909353494644165,0.001
4,0.7907701476812362,0.9160781526360868,0.9257281327512297,0.8365384615384616,0.6748601405413754,0.8374608501968893,0.46364155411720276,0.001
5,0.7787593052387237,0.9173289825105538,0.9254078723579028,0.8329493087557603,0.6735691654269356,0.8366445958067901,0.4620297849178314,0.001
6,0.7700343987941742,0.9170084355789355,0.9268069895170441,0.8356529464021321,0.6890658625699994,0.843304180033347,0.5029067397117615,0.001
7,0.7634298875331879,0.9223769631915831,0.9317515435149407,0.8427525622254758,0.6984103969273034,0.8485203528296819,0.5424109697341919,0.001
8,0.7563669017553329,0.9166774360299819,0.9273705760188464,0.8321210357870236,0.6755398060701229,0.8373503058499181,0.4952543377876282,0.001
9,0.7505970628261566,0.9230587589132319,0.9309955737093848,0.837222870478413,0.6863653566988925,0.8426618191861909,0.5471320748329163,0.001
10,0.7455030710697174,0.9223145642335507,0.9320020864420638,0.8391944694920349,0.7019505822097669,0.8487347898580471,0.6177172064781189,0.001
11,0.7405448412895203,0.9214688524673245,0.9310721521281817,0.8351449275362319,0.696302197588187,0.8455796831526614,0.5312488675117493,0.001
12,0.7357124541997909,0.92349285927863,0.9329656121898544,0.8390596745027125,0.7028645458166728,0.8489805847384184,0.5936990976333618,0.001
13,0.7330735415220261,0.9197596911599998,0.9288846523461973,0.8406386066763425,0.6912283465418808,0.8452619869348619,0.5556605458259583,0.001
14,0.7266673765182495,0.9155086433642984,0.9253164047389726,0.8304932735426009,0.6832058228913839,0.8398003360041355,0.589375376701355,0.001
15,0.7233273276090622,0.9212246413168523,0.9301202383678444,0.8347156398104265,0.6873967418080569,0.8424559342992819,0.5459277629852295,0.001
16,0.722712366938591,0.9211329433556829,0.9301255022086808,0.8295384615384616,0.694713745306394,0.8430827745934248,0.5909903645515442,0.001
17,0.7162444999217987,0.9215793968142956,0.9306516482600087,0.8292829282928292,0.6824769047997986,0.8391899665009451,0.5716972947120667,0.001
18,0.7135591702461243,0.9188959248729215,0.929299460325966,0.8269990878686531,0.6842336681922319,0.8390157562120222,0.6031765341758728,0.001
19,0.7077981126308441,0.9188579153553382,0.9282883557217978,0.8362896190753126,0.683405976974067,0.8412982277428935,0.5764989852905273,0.001
20,0.7084889296293259,0.921376996133165,0.9307650629450014,0.8390330188679245,0.6937893481155508,0.8458964291325215,0.5648815035820007,0.0007
21,0.6925042055845261,0.9213383531236222,0.9309871066441758,0.8385202583675866,0.6912419284042822,0.8448261444665744,0.5508845448493958,0.0007
22,0.6890001248121261,0.9194109538361739,0.9284372339730663,0.8277744087325651,0.684405838597313,0.8393328189378619,0.6073194146156311,0.0007
23,0.6858171595335006,0.9215816140361546,0.9309310277428048,0.8425707547169812,0.7005631320370769,0.849273574769789,0.5999622344970703,0.0007
24,0.6836091468334198,0.9215322016632965,0.9303851217463042,0.8373177842565598,0.6863376082412525,0.8426697378356873,0.5249054431915283,0.0007
25,0.6813729532957077,0.919440094466321,0.9291381970368564,0.8330404217926186,0.6798164156687729,0.8392292430024478,0.580460786819458,0.0007
26,0.6805726598501205,0.9175893477059989,0.92643542872659,0.835093896713615,0.6844348030664728,0.8414569174788034,0.5668564438819885,0.0007
27,0.6769299371242523,0.9245007449865446,0.9323485502697495,0.8423200233168172,0.695906278604609,0.8474579868132314,0.592178463935852,0.0007
28,0.6753726645708084,0.9194404112123008,0.9286584173076388,0.8276276276276276,0.67975084888366,0.8377709445111723,0.5787386298179626,0.0007
29,0.6724968876838684,0.9211929667188664,0.9299373728409941,0.8359260346345758,0.686145724679628,0.842297244563372,0.566521406173706,0.0007
30,0.6725471105575561,0.9171943654691135,0.9268246749995916,0.8307967770814683,0.6830161806731021,0.839824091952625,0.6071822643280029,0.0007
31,0.6721040180921555,0.9191261992002797,0.9284995424614495,0.8353080568720379,0.688526541136555,0.8430187919054931,0.6141725182533264,0.0007
32,0.6682769185304642,0.9179250984446504,0.9267799809098731,0.8205285802089736,0.6774060699746717,0.8346557477992489,0.6023366451263428,0.0007
33,0.6684073257446289,0.9198939914554605,0.9290302092346462,0.8359976317347543,0.6896053531354353,0.8435895681612009,0.6542448401451111,0.0007
34,0.667888457775116,0.9207758122633909,0.9288149867867671,0.8375558867362146,0.695335667648005,0.8460313629199419,0.6000798940658569,0.0007
35,0.6671323293447494,0.9191857474444936,0.927553093010812,0.8334310850439882,0.6810140096075218,0.8397762633096661,0.5736247301101685,0.0007
36,0.6642899758815766,0.9179219309848519,0.9259707920323452,0.8293404318249039,0.6765409779269408,0.8371285836640161,0.5657311081886292,0.0007
37,0.6607369457483292,0.9148833868000545,0.9243133421815579,0.8252569750367107,0.6658731855949584,0.8321578890020728,0.5250733494758606,0.0007
38,0.6608591710329056,0.9159938982054441,0.9253215415319086,0.8283917340521114,0.6800072799803778,0.8380880072370122,0.5843237638473511,0.0007
39,0.6627334430217743,0.9191721273673593,0.928617843320108,0.8337825696316262,0.6901961223959829,0.8431537256929135,0.6744922995567322,0.0007
40,0.6580069406032563,0.9198523393591088,0.9291574277517307,0.8325330132052821,0.6887411525790992,0.8422817240103588,0.683627724647522,0.00049
41,0.6466145964860917,0.9197364103304801,0.928648759389906,0.8362606232294617,0.6748075041116692,0.8374370942483997,0.4933205544948578,0.00049
42,0.6438360584974289,0.9183992671765009,0.9275895152354677,0.8282226853230128,0.6771219260613767,0.8370414785195546,0.5940776467323303,0.00049
43,0.6439477313756943,0.9190511304030529,0.9283018152055629,0.8281297362837223,0.6849305881604985,0.8396182070657159,0.6957485675811768,0.00049
44,0.6411811311244965,0.9178025177504446,0.9268616521467798,0.8297872340425532,0.6770346956162892,0.8374218904413665,0.5956130027770996,0.00049
45,0.6389830929040908,0.9203356937243752,0.9289593376085821,0.8307322929171669,0.6853433971404116,0.8405931511917251,0.659752607345581,0.00049
46,0.6374743435382842,0.9192215397402175,0.9285366991108608,0.8329425556858148,0.679850707581829,0.8392213243529514,0.600001335144043,0.00049
47,0.6360525614023209,0.9185905817483365,0.9276991831627439,0.8335280373831776,0.6796580464935769,0.8392688362499303,0.6058582067489624,0.00049
48,0.6387336786985397,0.9170245896239084,0.9261284962462619,0.8265397203213329,0.6736726925946919,0.8353608243504174,0.602895200252533,0.00049
49,0.6375574654340744,0.91392079576726,0.9238597152845929,0.8257951561132185,0.6643940377374846,0.8316821365403231,0.5632175803184509,0.00049
50,0.6367125520706177,0.9164039258763729,0.9259349895507186,0.8249780123131046,0.664638916075967,0.831618787344351,0.6255504488945007,0.00049
51,0.6331441844701767,0.9169039094055819,0.9259207163637051,0.8260084286574353,0.6777747412594571,0.8366135547007637,0.6930000185966492,0.00049
52,0.6332031828165054,0.9176913399115137,0.9267481432783454,0.8296557811120918,0.67501610366212,0.8366369939032734,0.601834774017334,0.00049
53,0.6312377995252609,0.9155453858979623,0.9252939883341493,0.8219847328244275,0.676925195073716,0.8350203224220678,0.6565060019493103,0.00049
54,0.6325436909198761,0.9146990406397761,0.9248928709125764,0.8177555486089403,0.6812222254190083,0.8347194137412008,0.7275968790054321,0.00049
