canonical_smiles,source_rows,unique_drug_names,unique_scores,drug_names,toxicity_scores,report_counts
CCC(C)C(NC(=O)CN)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC1CSSCC2NC(=O)C(C(C)CC)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CSSCC(NC(=O)C(CC(C)C)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(Cc3c[nH]cn3)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(Cc3ccccc3)C(=O)NC(Cc3ccccc3)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(C(=O)N3CCCC3C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)O)C(C)O)C(C)O)CSSCC(C(=O)NCC(=O)O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CC(N)=O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CC(C)C)NC(=O)C(CO)NC2=O)NC1=O)C(C)C,2,2,2,INSULIN GLARGINE | LANTUS,0.52380952381 | 0.591291061879,1050 | 1309
CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21,3,3,3,TREPROSTINIL | TYVASO | TYVASO DPI,0.464712269273 | 0.527821939587 | 0.538672517828,1258 | 1823 | 1842
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2,2,2,HYDROXYCHLOROQUINE | PLAQUENIL,0.647731257451 | 0.660523978686,4504 | 14259
CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,2,2,2,APREMILAST | OTEZLA,0.637026745398 | 0.693310657596,1764 | 2879
CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl,2,2,2,FLOMAX | TAMSULOSIN HYDROCHLORIDE,0.533513879485 | 0.56157635468,1015 | 1477
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,2,2,2,KISQALI | RIBOCICLIB,0.285837651123 | 0.393813111075,1158 | 6239
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,2,2,2,CITALOPRAM | ESCITALOPRAM,0.460694698355 | 0.485849056604,2188 | 2544
CN(C)CCOC(c1ccccc1)c1ccccc1,2,2,2,BENADRYL | DIPHENHYDRAMINE,0.378351539225 | 0.397296282388,2014 | 5326
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5.Cl,3,3,3,OPANA | OPANA ER | OXYMORPHONE HYDROCHLORIDE,0.0637649619151 | 0.131214343928 | 0.136798336798,2405 | 2454 | 4595
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,2,2,2,DILAUDID | HYDROMORPHONE,0.420916162489 | 0.540074399729,1157 | 2957
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.O=S(=O)(O)O,2,2,2,DEPODUR | MORPHINE SULFATE,0.182453416149 | 0.349065237286,1288 | 7649
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,2,2,2,CLOZAPINE | CLOZARIL,0.502311248074 | 0.630783078308,5192 | 5555
CNCCC(Oc1cccc2ccccc12)c1cccs1.Cl,2,2,2,CYMBALTA | DULOXETINE HYDROCHLORIDE,0.295466666667 | 0.349409448819,1016 | 1875
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5.Cl,2,2,2,BELBUCA | BUPRENORPHINE HYDROCHLORIDE,0.13490035769 | 0.15173025732,1127 | 1957
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O.CS(=O)(=O)O,2,2,2,LENVATINIB MESYLATE | LENVIMA,0.432104121475 | 0.724063400576,2305 | 2776
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,2,2,2,APIXABAN | ELIQUIS,0.501370887338 | 0.559272727273,2750 | 8024
COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.[Mg+2],2,2,2,ESOMEPRAZOLE MAGNESIUM | NEXIUM,0.475510204082 | 0.479642502483,1007 | 1470
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,2,2,2,OXYCODONE | OXYCONTIN,0.321470937129 | 0.581386861314,1686 | 5480
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,2,2,2,ESOMEPRAZOLE | OMEPRAZOLE,0.514302393462 | 0.550909090909,2200 | 8565
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,3,3,3,DEXILANT | LANSOPRAZOLE | PREVACID,0.463459759482 | 0.590216010165 | 0.594864215777,1081 | 1574 | 5413
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,2,2,2,BACTRIM | SULFAMETHOXAZOLE,0.569693769799 | 0.685060565276,1486 | 1894
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,2,2,2,CELEBREX | CELECOXIB,0.590277777778 | 0.614462644826,2503 | 3888
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,2,2,2,RISPERDAL | RISPERIDONE,0.532389273878 | 0.560116236833,2753 | 3319
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,2,2,2,ARAVA | LEFLUNOMIDE,0.650269821503 | 0.677718651931,7329 | 14454
Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2,2,2,CETIRIZINE HYDROCHLORIDE | ZYRTEC,0.452044609665 | 0.680248908036,1345 | 16713
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,2,2,2,AZATHIOPRINE | IMURAN,0.300465116279 | 0.48062800709,1075 | 3949
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1.O=C(O)C(O)C(O)C(O)C(O)CO.O=C(O)C(O)C(O)C(O)C(O)CO,2,2,2,CHLORHEXIDINE GLUCONATE | PERIOGARD,0.727422907489 | 0.73275862069,1740 | 1816
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+],2,2,2,LEVOTHYROXINE SODIUM | SYNTHROID,0.394828791055 | 0.57929370476,2862 | 4559
NC(N)=NCCCC(N)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)N1CC(O)CC1C(=O)NCC(=O)NC(Cc1cccs1)C(=O)NC(CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NC(CCCN=C(N)N)C(=O)O)CC2CCCCC21,2,2,2,FIRAZYR | ICATIBANT,0.400448053766 | 0.479923518164,1046 | 3571
NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.O.O.O.[Na+],2,2,2,ALENDRONATE SODIUM | FOSAMAX,0.685471272349 | 0.706745893044,5722 | 5761
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2,2,2,FUROSEMIDE | LASIX,0.54309623431 | 0.575522928399,2390 | 9944
Nc1ccc(O)c(C(=O)O)c1,2,2,2,ASACOL | MESALAMINE,0.248875562219 | 0.426113360324,988 | 3335
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,2,2,2,POMALIDOMIDE | POMALYST,0.396123260437 | 0.53661971831,1420 | 2012
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,2,2,2,LENALIDOMIDE | REVLIMID,0.360944110443 | 0.481794777492,4491 | 5438
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,2,2,2,LAMICTAL | LAMOTRIGINE,0.456416854294 | 0.516646848989,1682 | 3109
O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,2,2,2,RIVAROXABAN | XARELTO,0.48924520923 | 0.533657745337,1233 | 2557
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,2,2,2,ATIVAN | LORAZEPAM,0.584800418337 | 0.600750938673,1598 | 5737
O=C1OC(C(O)CO)C(O)=C1O,2,2,2,ASCORBIC ACID | VITAMIN C,0.525267993874 | 0.653914590747,1124 | 4571
