epoch,loss,auroc,f1
1,2.453078248026169,0.8442395902484359,0.8366391184573003
2,2.2647451999385035,0.8586423125540277,0.8427584261740234
3,2.1666976881233495,0.8668646212257263,0.8469690546841883
4,2.0946245196857523,0.8740784799086309,0.846759193017599
5,2.034060777666461,0.8782952610787346,0.8476669059583632
6,1.9812058153738916,0.8816304629211509,0.8488672211069688
7,1.93545534737777,0.8843989126319586,0.8496337785437311
8,1.893175162514475,0.8883449337263678,0.8498567335243553
9,1.8551043712820978,0.891431685459951,0.8542014468558708
10,1.8198429554716695,0.8943675981255521,0.8500071766901105
11,1.7870615901876448,0.8967733233131968,0.854798331015299
12,1.7560558917730016,0.8990554552330969,0.8493984635454414
13,1.7267881370238902,0.9018760273443591,0.8496883606319756
14,1.6992777966151038,0.9033265305703408,0.8506277962187906
15,1.672799196951322,0.9058549013457213,0.8510024520409635
16,1.64754056985695,0.907211465790884,0.851033087704089
17,1.622949213707887,0.9092638247954472,0.8512731481481481
18,1.5991664620042645,0.9101061543761256,0.8515309069901791
19,1.5762627891893572,0.9110528867043812,0.8516967509025271
20,1.5537878653397326,0.9119727680990692,0.8517286272240706
21,1.531994494103348,0.9135799544197505,0.8518143703917883
22,1.5109035343711428,0.915553971876964,0.8518518518518519
23,1.490388817194118,0.9163497861639034,0.8519751121400666
24,1.470518703277274,0.9175501808410376,0.8571029863243093
25,1.4510264168480227,0.9182396970203834,0.8569829275118948
26,1.4317989831784381,0.9193474954633769,0.8571428571428571
27,1.4131132019208519,0.9205030727734537,0.8571828227724158
28,1.3948220336530355,0.9214264684815056,0.8573024294889695
29,1.3770569900638143,0.9219581564528085,0.8575418994413407
30,1.359834992025541,0.922689489012519,0.8578998744944917
