epoch,loss,auroc,average_precision,f1,mcc,balanced_accuracy
1,3.162728406482043,0.8144092133283227,0.7630333067665918,0.7985223074737141,0.6039758943619291,0.8017772140799198
2,2.956793188909137,0.82775241137417,0.7816637173878552,0.8062857142857143,0.6217009983494906,0.8104901039709382
3,2.8388569392229477,0.8348706626581486,0.7913688175332332,0.8067129629629629,0.6284298703311911,0.8133778028310159
4,2.748638794641969,0.8423307340598772,0.8005263983647144,0.806874453830469,0.6319818382810597,0.8148236878366529
5,2.6733966734255685,0.8488762056870849,0.8098689647522478,0.8135304150085275,0.6336745083648081,0.816609357384442
6,2.6052173890637627,0.8536759363647752,0.8164699809465337,0.8074204946996466,0.6384752917610298,0.8174173243141676
7,2.5450221573736918,0.8568896404860328,0.8202381642961855,0.8121176813282843,0.6420924664101902,0.8198603281974195
8,2.4903663032319683,0.8595294688713515,0.8236507273962501,0.8111111111111111,0.6420066414740958,0.8196069773268195
9,2.4407183256589806,0.8628101904046097,0.8284484968311259,0.8103498970890914,0.6433283044404702,0.8199254666165602
10,2.3929270058269747,0.8671775961418015,0.8354743095267769,0.8104767510300177,0.6440179463709302,0.8202113866967305
11,2.348375287618057,0.8694519604158837,0.8400969019460327,0.8138929088277859,0.6424885941619178,0.8203751722410122
12,2.305837406876436,0.8716397344356758,0.8438560094812249,0.8152645273200347,0.6446113108218282,0.8214862833521233
13,2.2652422648210004,0.8734130339471378,0.8475438057363563,0.8139941690962099,0.64613173881105,0.8218251283978455
14,2.2260891642847582,0.8747702931228861,0.8501396337856506,0.8136682242990654,0.6463521093349084,0.8218373418514342
15,2.188873346229522,0.877048728548165,0.8547498437202232,0.8135593220338984,0.6464272424079,0.8218414130026306
16,2.1533500910074808,0.8780674558436679,0.8567654595995344,0.8134306569343066,0.6457529316463108,0.8215554929224602
17,2.119084731184607,0.8796595891268947,0.859322622547777,0.81275599765945,0.6454557650043572,0.8212899285982713
18,2.0857831470316976,0.88107024301641,0.8623853793382172,0.8125182801988886,0.6448552119570063,0.8210080796692972
19,2.05380263184392,0.8816618126017788,0.86408289068061,0.8131932282545242,0.6451540208225964,0.8212736439934861
20,2.02255079806038,0.8828328949016659,0.8661715442308366,0.8131932282545242,0.6451540208225964,0.8212736439934861
21,1.992321213084795,0.883473631466867,0.8675892061496407,0.8129559381383133,0.6445553762196122,0.820991795064512
22,1.9630077490073097,0.8839615432794689,0.8683762988910753,0.8128279883381925,0.6438846018089222,0.8207058749843418
23,1.934623765380038,0.8845067643742953,0.8698550523732155,0.8165137614678899,0.6432657859641234,0.821147438306401
24,1.9071708633474775,0.8857702304897909,0.8732282734128297,0.8163030998851895,0.6433637442803791,0.8211555806087937
25,1.880520251290858,0.887206877113867,0.8769851953522996,0.8159632500717772,0.642828182746669,0.8208778028310159
26,1.8544913747774374,0.888714142552925,0.8806360272287215,0.8159632500717772,0.642828182746669,0.8208778028310159
27,1.8292014928883515,0.8905760678942753,0.8858371815677539,0.8158575122091353,0.6428787602586007,0.8208818739822121
28,1.8046517915537825,0.8913262557935612,0.8869419910426108,0.8160919540229885,0.6434649734172063,0.8211637229111863
29,1.780558426470221,0.891854409369911,0.8883497077335166,0.8160919540229885,0.6434649734172063,0.8211637229111863
30,1.7573342320613512,0.8922438306401103,0.8896020249576323,0.8158575122091353,0.6428787602586007,0.8208818739822121
