epoch,loss,auroc,average_precision,f1,threshold,learning_rate
1,0.6655685424566745,0.69045260565408,0.6617785173157837,0.6459696505638313,0.5309529900550842,0.001
2,0.6213030627149784,0.7555740958619395,0.7383249822475326,0.6983431466520608,0.5294205546379089,0.001
3,0.5817836703892477,0.791881572851874,0.7775193613583946,0.7253628196268141,0.5354952216148376,0.001
4,0.5410868496951943,0.8303416654939126,0.8217852055085532,0.7625743645213628,0.4478287100791931,0.001
5,0.5053809882994897,0.8499462428515311,0.8453727612036346,0.7714085494043448,0.455020546913147,0.001
6,0.4781884901418895,0.8660574347786876,0.8637373418238152,0.7824368205562615,0.38944095373153687,0.001
7,0.45715148202673406,0.8753093977793647,0.8741877333825515,0.7906779661016949,0.5304064154624939,0.001
8,0.44300451565407467,0.878950463344448,0.8774201494247209,0.7990012484394506,0.505953311920166,0.001
9,0.43203278917990284,0.8870720020419346,0.886851063871724,0.8025387870239774,0.4061945378780365,0.001
10,0.42003549055424994,0.8933978450704293,0.8954503864100514,0.8125175413976986,0.39726293087005615,0.001
11,0.41524261081528047,0.8957259394707302,0.8961353088922217,0.8109488015884272,0.4035281538963318,0.001
12,0.4095001773919888,0.8726007703690786,0.8771701777638461,0.7831308077197998,0.45281851291656494,0.001
13,0.4017561622365506,0.9021680707335723,0.9045527939366672,0.8156213704994193,0.4992517828941345,0.001
14,0.3941239157836594,0.9026552967178209,0.904992803508318,0.8219643362581376,0.45217761397361755,0.001
15,0.3933117421801219,0.902709748831629,0.9035422520440928,0.8238707003729797,0.4161010980606079,0.001
16,0.3893885597021518,0.9058072409386391,0.9070468158366467,0.8228117463469996,0.5447336435317993,0.001
17,0.38574364103243025,0.9016924143427577,0.9016763425962082,0.8198224004583214,0.583636999130249,0.001
18,0.38128278319707176,0.9071410215769363,0.9086957903970416,0.8223581282890058,0.45500436425209045,0.001
19,0.3794991904033158,0.911235552025974,0.9132430136856814,0.8284376330353341,0.5589178800582886,0.001
20,0.3743705486585042,0.9074616138263986,0.9076737813490304,0.8277996623522791,0.6491327881813049,0.0007
21,0.36293300296256165,0.90927065598884,0.9114799212573876,0.8297040759352318,0.5425330400466919,0.0007
22,0.35843748166532574,0.9123411787022817,0.914669045857823,0.8362880886426592,0.4864213168621063,0.0007
23,0.3541818285238243,0.9147712671634721,0.9182734746698145,0.8342776203966006,0.6017575263977051,0.0007
24,0.3541092121613002,0.913847279155415,0.9165930489830805,0.8351679367767428,0.44637274742126465,0.0007
25,0.3515322298227908,0.9137311883544026,0.9154277221980598,0.8289871776401095,0.4721234440803528,0.0007
26,0.3496493957416264,0.915428325302535,0.9176182006290645,0.8350243224461431,0.483323335647583,0.0007
27,0.3466033763930707,0.9132875556505341,0.916163055136219,0.8369188063844553,0.4120834171772003,0.0007
28,0.34402875745010947,0.9146364596822966,0.9166029250927676,0.8400876232201533,0.39713412523269653,0.0007
29,0.3456445979679416,0.9174380387067264,0.9204428664080438,0.8380281690140845,0.4323674440383911,0.0007
30,0.34317297537526686,0.916882698221884,0.9182480247274561,0.8380498739142617,0.4507201015949249,0.0007
31,0.3392116111552644,0.91732834474577,0.9196688309810659,0.8330459770114943,0.5969683527946472,0.0007
32,0.3401137478872687,0.9201819671973201,0.9229366807585804,0.8390576213454443,0.40305259823799133,0.0007
33,0.3367965423656319,0.9167110891670539,0.9198590019008346,0.8355216716080757,0.5573111772537231,0.0007
34,0.33614691500059385,0.9207840598959035,0.9237772739648906,0.8412833617262919,0.46073105931282043,0.0007
35,0.3355182447059902,0.9157669629588212,0.9172989473070569,0.8393939393939394,0.5628859996795654,0.0007
36,0.33379885292576694,0.9184965972759569,0.9210126612823701,0.8356242840778924,0.49593713879585266,0.0007
37,0.3319806308149102,0.9196857777396601,0.9220855269783421,0.8391371774989426,0.5849109292030334,0.0007
38,0.3300069504214856,0.9210992819586524,0.9233959138689071,0.8425615212527964,0.5652280449867249,0.0007
39,0.3318893965668307,0.9196766958062474,0.9217599509283788,0.8354068354068354,0.4664651155471802,0.0007
40,0.33041867691123794,0.9208289957229622,0.923484838180078,0.8427157001414427,0.4319625794887543,0.00049
41,0.32201853486711157,0.9237221838148574,0.9263570657265482,0.8421353125892093,0.4818478524684906,0.00049
42,0.31754948618169315,0.9221455601744426,0.925550586684742,0.8394077448747153,0.4287968575954437,0.00049
43,0.31791156566071654,0.9221822038014287,0.9249407430033469,0.8417174436729489,0.5662840604782104,0.00049
44,0.3138624952581828,0.9225793606982253,0.9248056141427413,0.8413812867172947,0.5109285712242126,0.00049
45,0.3130807175845681,0.923192588636906,0.9255111827565033,0.8427709111813739,0.5182571411132812,0.00049
46,0.31194960577283315,0.9188536357190704,0.921637813977342,0.8354651162790697,0.5667040348052979,0.00049
47,0.31430865705251215,0.9216004072496888,0.9240075023631048,0.8439051296194153,0.37295517325401306,0.00049
48,0.3100581703012337,0.921001078617796,0.92281879061592,0.847457627118644,0.4865075349807739,0.00049
49,0.31077562094091654,0.9231106143161911,0.9252332550685082,0.8458250213736107,0.5214191675186157,0.00049
50,0.3091682576371762,0.9231320950630452,0.9258185250247574,0.8424482856333239,0.4202576279640198,0.00049
51,0.3087040642480888,0.9219076530057015,0.9244998751895523,0.8418345477925417,0.5766894817352295,0.00049
52,0.30771194222920434,0.9230280871821382,0.9255940636265524,0.8424060580082869,0.5419421792030334,0.00049
53,0.3090168824809754,0.9219478109460517,0.9242399014348611,0.8452481076534903,0.4668552279472351,0.00049
54,0.3053692942726874,0.9237014928013436,0.925130401144824,0.8454072302714869,0.5895251631736755,0.00049
55,0.305156134143323,0.9203369128786711,0.9236868134680136,0.8394747988140618,0.434206485748291,0.00049
56,0.3039429214245783,0.9246704561231264,0.927102150730161,0.8469027797375476,0.4443375766277313,0.00049
57,0.3029433073933253,0.9220871988806003,0.9236647764231293,0.8428511879949979,0.48909083008766174,0.00049
58,0.30198159445069744,0.9238678501294609,0.9259834046626291,0.8387003610108303,0.593869686126709,0.00049
59,0.3017906161422977,0.9237932993021443,0.9261560122227341,0.8463581713966168,0.5601546764373779,0.00049
60,0.30135353575804513,0.9203585515721932,0.9230803809816951,0.8413734392735528,0.4345962405204773,0.000343
61,0.29365432280266357,0.9243165766133739,0.927205643576308,0.8404209312382874,0.5352663993835449,0.000343
62,0.29179797569910687,0.9255265270639248,0.92723412874397,0.8461647125300183,0.611392080783844,0.000343
63,0.28946000941380295,0.9255764776976936,0.9279478367206005,0.8447116072706455,0.5434014201164246,0.000343
64,0.2909515915278665,0.9273805840267587,0.9296931890458049,0.8477459597391551,0.46481797099113464,0.000343
65,0.2918869573139621,0.925822479633172,0.9278726825718724,0.8430635838150289,0.5264995694160461,0.000343
66,0.2891627019215487,0.9263192219041703,0.9291491175865223,0.8425151427747332,0.5266696810722351,0.000343
67,0.2892767386641093,0.925631916978177,0.928553601043267,0.8447705366134369,0.5442312359809875,0.000343
68,0.2899926484166505,0.9262163591366065,0.9292127757733699,0.8431654676258993,0.4939383268356323,0.000343
69,0.2875746842808352,0.9248893307183683,0.927224308348885,0.8433186281485698,0.43611547350883484,0.000343
70,0.28734014223435683,0.9236527267675851,0.9258944484716461,0.8420008502196401,0.5137975215911865,0.000343
71,0.2880477882074025,0.9262814726505076,0.9289140651302952,0.8482989403234802,0.4520503580570221,0.000343
72,0.28510159729959483,0.9271112059844098,0.9295845227487216,0.8479614949037373,0.501558780670166,0.000343
73,0.2866332125283049,0.9247058361767683,0.926614411967841,0.8378417897353414,0.5568138360977173,0.000343
74,0.2839209026026869,0.9249289358453804,0.9278055133638512,0.8415614236509759,0.4705486297607422,0.000343
75,0.2858903738196025,0.9241806240188549,0.9266864665210709,0.8457431862882833,0.5078420042991638,0.000343
76,0.2842127012754391,0.9246933189033258,0.9267500211796135,0.8423920837516133,0.6711183190345764,0.000343
77,0.2842291074539135,0.9243214729600833,0.9268348261122923,0.8441375422773394,0.5906813144683838,0.000343
78,0.282948303157222,0.9241204858249973,0.9267796284064369,0.8377314477329056,0.6014754176139832,0.000343
79,0.28286515518338856,0.9260840788021198,0.9287169413956085,0.8439573117969426,0.5914278626441956,0.000343
80,0.2817113217182026,0.926016319681529,0.9286626880337355,0.8454941656122592,0.5911356210708618,0.00024009999999999998
81,0.276420878287323,0.9271493501047423,0.9300810881624185,0.8441853852715382,0.5237120985984802,0.00024009999999999998
82,0.27495819169604135,0.9261752140295811,0.9291733048596942,0.8444126074498567,0.5119279026985168,0.00024009999999999998
83,0.2744815446243077,0.9271504952180855,0.9297038348060584,0.8493035035880118,0.47559675574302673,0.00024009999999999998
84,0.2723507341034636,0.9267416502678538,0.9293981347436227,0.841952353282975,0.5238890647888184,0.00024009999999999998
85,0.27400815290605235,0.9263819267313836,0.9290893839504224,0.843452296317361,0.5129078030586243,0.00024009999999999998
86,0.2729006828126793,0.9266051448599969,0.9287800106899279,0.8473282442748091,0.52132648229599,0.00024009999999999998
87,0.2711839833837783,0.9262701004904087,0.9283577837380401,0.8471372984991662,0.47380971908569336,0.00024009999999999998
88,0.27175236444273393,0.9260307323149881,0.9286325175661849,0.8452636090870125,0.5018355250358582,0.00024009999999999998
89,0.27174640513822707,0.9257160235789104,0.9282435100936124,0.8433666191155492,0.5395771861076355,0.00024009999999999998
90,0.2710799511202319,0.9264259148784341,0.9286240024821575,0.849496482273417,0.48424941301345825,0.00024009999999999998
91,0.2701319200312068,0.9261035457289561,0.9286747091764855,0.8421967830749166,0.6590424180030823,0.00024009999999999998
92,0.27016676989144195,0.9255388469040321,0.9277512561243202,0.8406976744186047,0.6036872267723083,0.00024009999999999998
93,0.2687839093560468,0.9258768132869791,0.9278967587780907,0.847519217330538,0.43918052315711975,0.00024009999999999998
94,0.26865061222317216,0.9263232890308725,0.9285277425312098,0.8457225017972682,0.5943365097045898,0.00024009999999999998
