experiment,seed,split,run_directory,checkpoint_sha256,twosides_input_sha256,split_manifest_signature,negative_label_meaning,model_architecture,use_toxicity_pair_features,toxicity_loss_weight,auroc,average_precision,f1,mcc,balanced_accuracy,brier_score_calibrated,ece_calibrated,brier_score_raw
graph_fp_fusion_multitask,11,S1,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_11/artifacts/run_20260823T154337Z,eae821dd58986e1578cd5878e079fbca45eee353179060bbd8b952805aa5d5eb,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,5c20ad129f83e47bb0b83ae68555d8b29cea687a969f113f345dd4f37e76ef15,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.45795980129046987,0.5242800482753938,0.2629757785467128,-0.07459488232473604,0.4695654656540855,0.3892049405184516,0.3386324959688964,0.41751308529560704
graph_fp_fusion_multitask,11,S1-dev,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_11/artifacts/run_20260823T154337Z,eae821dd58986e1578cd5878e079fbca45eee353179060bbd8b952805aa5d5eb,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,5c20ad129f83e47bb0b83ae68555d8b29cea687a969f113f345dd4f37e76ef15,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.5227350200742368,0.5777302351305333,0.29914529914529914,0.03507720559219223,0.5137963033103553,0.32630929333840336,0.2500890322450606,0.34887632614105185
graph_fp_fusion_multitask,11,S2,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_11/artifacts/run_20260823T154337Z,eae821dd58986e1578cd5878e079fbca45eee353179060bbd8b952805aa5d5eb,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,5c20ad129f83e47bb0b83ae68555d8b29cea687a969f113f345dd4f37e76ef15,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.7048802483248671,0.7264293769749466,0.5683106575963719,0.300765363343894,0.6412871106561269,0.25424650375241953,0.17285797756352828,0.2691060899610417
graph_fp_fusion_multitask,11,S2-dev,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_11/artifacts/run_20260823T154337Z,eae821dd58986e1578cd5878e079fbca45eee353179060bbd8b952805aa5d5eb,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,5c20ad129f83e47bb0b83ae68555d8b29cea687a969f113f345dd4f37e76ef15,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.678032653532197,0.6909429216866633,0.5478577939835916,0.25192960453801444,0.619216010899131,0.2684473234047074,0.19032368851679965,0.2846172004365665
graph_fp_fusion_multitask,11,Transductive,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_11/artifacts/run_20260823T154337Z,eae821dd58986e1578cd5878e079fbca45eee353179060bbd8b952805aa5d5eb,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,5c20ad129f83e47bb0b83ae68555d8b29cea687a969f113f345dd4f37e76ef15,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.9220747137821693,0.9310771953058044,0.8275736851661321,0.6829960111837907,0.8388195864744703,0.11184187808505824,0.02256921903088169,0.11480804646378975
graph_fp_fusion_multitask,23,S1,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_23/artifacts/run_20260823T161611Z,cf5ec61b334381527c9a310a1cf98c166f3bfbfd112f22a9d83763e21e20c0d1,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,74b193faf2cf8c611b306f2099dcf40977126913747f65d2c30061e14c9fe71b,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.5291501831501831,0.526888311183497,0.3715277777777778,0.000635313204973756,0.5002930402930403,0.31380518679437586,0.2403941569394847,0.3208624658961185
graph_fp_fusion_multitask,23,S1-dev,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_23/artifacts/run_20260823T161611Z,cf5ec61b334381527c9a310a1cf98c166f3bfbfd112f22a9d83763e21e20c0d1,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,74b193faf2cf8c611b306f2099dcf40977126913747f65d2c30061e14c9fe71b,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.5634380453752181,0.480355663290182,0.39591836734693875,0.08844214100342933,0.5399389179755671,0.29880810585125406,0.20152735811301328,0.30547846210293683
graph_fp_fusion_multitask,23,S2,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_23/artifacts/run_20260823T161611Z,cf5ec61b334381527c9a310a1cf98c166f3bfbfd112f22a9d83763e21e20c0d1,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,74b193faf2cf8c611b306f2099dcf40977126913747f65d2c30061e14c9fe71b,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.7265876016911036,0.7213097364930123,0.6339026530750017,0.3412180363574615,0.6681077537770008,0.23635721408082114,0.14608904115332677,0.24066623997929562
graph_fp_fusion_multitask,23,S2-dev,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_23/artifacts/run_20260823T161611Z,cf5ec61b334381527c9a310a1cf98c166f3bfbfd112f22a9d83763e21e20c0d1,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,74b193faf2cf8c611b306f2099dcf40977126913747f65d2c30061e14c9fe71b,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.7223859531414227,0.7007392484338166,0.6230017761989343,0.3395238716334087,0.6661867132882155,0.24033494888690185,0.15520406087190883,0.2448565413576177
graph_fp_fusion_multitask,23,Transductive,backend/experiments/study_20260823T154329Z/graph_fp_fusion_multitask/seed_23/artifacts/run_20260823T161611Z,cf5ec61b334381527c9a310a1cf98c166f3bfbfd112f22a9d83763e21e20c0d1,b05f1c17a8c26966f468ae96a775c8621d6824613aba811f669dc62c8a3bba69,74b193faf2cf8c611b306f2099dcf40977126913747f65d2c30061e14c9fe71b,unreported_twosides_sampled,graph_fp_fusion_v1,True,0.3,0.9233191080029399,0.934355875014913,0.8368988533287695,0.680467648317537,0.8399041006954676,0.11084564368546768,0.009412685418313076,0.11097508892965166
