source,target,label,label_evidence,raw_prediction_score,calibrated_prediction_score,threshold,predicted_label,confidence_margin_from_threshold,predictive_entropy_nats,conformal_no_interaction_p_value,conformal_interaction_p_value,conformal_prediction_set,conformal_prediction_set_size,conformal_abstain,source_nearest_train_tanimoto,target_nearest_train_tanimoto,pair_minimum_nearest_train_tanimoto,source_exactly_seen_in_training,target_exactly_seen_in_training,structural_ood_flag
C(N)(N)(Cl)Cl,CCCNC1CCC2=C(C1)SC(=N2)N,1,reported_twosides,1.570369568071328e-05,1.957205933499055e-05,0.47450715325434717,0,0.47448758119501216,0.00023176053970148176,1.0,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.19047619047619047,0.13333333333333333,False,False,True
C(N)(N)(Cl)Cl,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,6.809604383306578e-05,8.055437140673989e-05,0.47450715325434717,0,0.4744265988829404,0.000839903206649405,0.999157184997893,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.3877551020408163,0.13333333333333333,False,False,True
CCCNC1CCC2=C(C1)SC(=N2)N,CN(C)C(=N)N=C(N)N,1,reported_twosides,7.703863229835406e-05,9.07337786984471e-05,0.47450715325434717,0,0.4744164194756487,0.0009352416431377647,0.999157184997893,0.00042140750105351877,no_interaction,1,False,0.19047619047619047,0.1891891891891892,0.1891891891891892,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.00012803882418666035,0.00014809843107304972,0.47450715325434717,0,0.4743590548232741,0.0014539651407853356,0.9978929624947324,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.1891891891891892,0.1891891891891892,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,1,reported_twosides,0.0001348172954749316,0.0001556528306438198,0.47450715325434717,0,0.47435150042370333,0.0015203864421442102,0.9970501474926253,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.4473684210526316,0.2608695652173913,False,False,True
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.00037150990101508796,0.0004137230340403269,0.47450715325434717,0,0.47409343022030687,0.003636669703600486,0.9966287399915719,0.00042140750105351877,no_interaction,1,False,0.3137254901960784,0.1891891891891892,0.1891891891891892,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,1,reported_twosides,0.00041337244329042733,0.0004585951060365644,0.47450715325434717,0,0.4740485581483106,0.0039838677488434485,0.9966287399915719,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.5657894736842105,0.2608695652173913,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,1,reported_twosides,0.00044238162809051573,0.0004895937947204512,0.47450715325434717,0,0.4740175594596267,0.004221125759583623,0.9962073324905183,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.8,0.2608695652173913,False,False,True
CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,CCCNC1CCC2=C(C1)SC(=N2)N,1,reported_twosides,0.0005250152898952365,0.0005775128114013013,0.47450715325434717,0,0.4739296404429459,0.004883731961047858,0.9957859249894648,0.00042140750105351877,no_interaction,1,False,0.4473684210526316,0.19047619047619047,0.19047619047619047,False,False,True
CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0005633380496874452,0.0006181143251918284,0.47450715325434717,0,0.47388903892915535,0.005185069326876518,0.9949431099873578,0.00042140750105351877,no_interaction,1,False,0.30434782608695654,0.1891891891891892,0.1891891891891892,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,1,reported_twosides,0.0005849163862876594,0.0006409320001457832,0.47450715325434717,0,0.47386622125420136,0.0053532349737087075,0.9949431099873578,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.7272727272727273,0.2608695652173913,False,False,True
CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.000781182199716568,0.0008472144132707276,0.47450715325434717,0,0.47365993884107643,0.006839674658273142,0.9928360724820902,0.00042140750105351877,no_interaction,1,False,0.26229508196721313,0.1891891891891892,0.1891891891891892,False,False,True
C(N)(N)(Cl)Cl,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,1,reported_twosides,0.0008610914228484035,0.000930642660063304,0.47450715325434717,0,0.47357651059428385,0.0074257557262418445,0.9924146649810367,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.25,0.13333333333333333,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1,reported_twosides,0.0009001524304039776,0.0009713217357659582,0.47450715325434717,0,0.4735358315185812,0.0077087657522460565,0.9919932574799831,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.475,0.2608695652173913,False,False,True
CC(C)(CC1=CC=CC=C1)N,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0009372606291435659,0.0010099087607557187,0.47450715325434717,0,0.47349724449359143,0.007975643513368779,0.9919932574799831,0.00042140750105351877,no_interaction,1,False,0.4074074074074074,0.1891891891891892,0.1891891891891892,False,False,True
CCCC(CCC)C(=O)O,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,1,reported_twosides,0.0009421877330169082,0.001015028072638733,0.47450715325434717,0,0.4734921251817084,0.008010937851676466,0.9919932574799831,0.00042140750105351877,no_interaction,1,False,0.27586206896551724,0.24050632911392406,0.24050632911392406,False,False,True
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,CCCNC1CCC2=C(C1)SC(=N2)N,1,reported_twosides,0.000999403651803732,0.0010744073632738501,0.47450715325434717,0,0.4734327458910733,0.008418463738317328,0.9919932574799831,0.00042140750105351877,no_interaction,1,False,0.4117647058823529,0.19047619047619047,0.19047619047619047,False,False,True
CN(C)C(=N)N=C(N)N,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,1,reported_twosides,0.001000122749246657,0.0010751528637918137,0.47450715325434717,0,0.47343200039055533,0.008423558909204463,0.9919932574799831,0.00042140750105351877,no_interaction,1,False,0.1891891891891892,0.8,0.1891891891891892,False,False,True
CCCNC1CCC2=C(C1)SC(=N2)N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,1,reported_twosides,0.001070604776032269,0.0011481321294791297,0.47450715325434717,0,0.47335902112486805,0.008919889728022346,0.9907290349768226,0.00042140750105351877,no_interaction,1,False,0.19047619047619047,0.2962962962962963,0.19047619047619047,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CCCC(CCC)C(=O)O,1,reported_twosides,0.0011133993975818157,0.0011923586606516978,0.47450715325434717,0,0.47331479459369546,0.009218393621999842,0.9907290349768226,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.27586206896551724,0.2608695652173913,False,False,True
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0011163837043568492,0.001195440533054813,0.47450715325434717,0,0.47331171272129235,0.009239132576977463,0.9907290349768226,0.00042140750105351877,no_interaction,1,False,0.7272727272727273,0.1891891891891892,0.1891891891891892,False,False,True
C(N)(N)(Cl)Cl,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,1,reported_twosides,0.0011331652058288455,0.001212765219322235,0.47450715325434717,0,0.47329438803502494,0.009355568749222071,0.9907290349768226,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.8,0.13333333333333333,False,False,True
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0011366982944309711,0.0012164114960734158,0.47450715325434717,0,0.47329074175827374,0.009380043051420067,0.9907290349768226,0.00042140750105351877,no_interaction,1,False,0.475,0.1891891891891892,0.1891891891891892,False,False,True
C(OC(C(F)(F)F)C(F)(F)F)F,CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C,1,reported_twosides,0.0013380036689341068,0.001423534892194461,0.47450715325434717,0,0.47308361836215274,0.010753240271353423,0.987779182469448,0.00042140750105351877,no_interaction,1,False,0.2608695652173913,0.5802469135802469,0.2608695652173913,False,False,True
CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,CCCNC1CCC2=C(C1)SC(=N2)N,1,reported_twosides,0.0013591754250228405,0.0014452508435840233,0.47450715325434717,0,0.4730619024107631,0.010895383936435347,0.987779182469448,0.00042140750105351877,no_interaction,1,False,0.23595505617977527,0.19047619047619047,0.19047619047619047,False,False,True
C(N)(N)(Cl)Cl,CN(C)C(=N)N=C(N)N,1,reported_twosides,0.0014150645583868027,0.0015025190589867045,0.47450715325434717,0,0.4730046341953605,0.011268683447238621,0.9873577749683944,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.1891891891891892,0.13333333333333333,False,False,True
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1,reported_twosides,0.00143836485221982,0.0015263702753274984,0.47450715325434717,0,0.4729807829790197,0.01142350649151327,0.9873577749683944,0.00042140750105351877,no_interaction,1,False,0.9487179487179487,0.3877551020408163,0.3877551020408163,False,False,True
C(N)(N)(Cl)Cl,CCCC(CCC)C(=O)O,1,reported_twosides,0.001535788644105196,0.0016259508376082912,0.47450715325434717,0,0.47288120241673887,0.01206593578891895,0.9873577749683944,0.00042140750105351877,no_interaction,1,False,0.13333333333333333,0.27586206896551724,0.13333333333333333,False,False,True
